Degree,Feedback_Modality,Level
8,Haptic,near
1,Visual,far
8,Visual,mid
7,Visual,far
3,Haptic,mid
5,Haptic,near
7,Haptic,far
6,Visual,mid
8,Audio,far
3,Haptic,near
2,Visual,near
1,Audio,near
1,Haptic,far
2,Haptic,near
1,Audio,mid
3,Audio,mid
2,Audio,near
7,Audio,mid
8,Haptic,near
6,Audio,far
1,Visual,far
4,Visual,far
6,Audio,far
4,Audio,mid
6,Visual,far
7,Visual,near
7,Audio,far
4,Audio,near
8,Visual,far
8,Audio,mid
2,Visual,near
6,Audio,mid
2,Haptic,near
8,Visual,mid
8,Audio,mid
4,Visual,near
6,Visual,near
8,Audio,near
2,Audio,near
1,Haptic,near
8,Audio,far
1,Visual,mid
7,Haptic,mid
4,Audio,near
1,Audio,mid
2,Visual,near
5,Visual,mid
6,Visual,far
4,Visual,far
3,Haptic,near
2,Audio,near
1,Visual,mid
2,Audio,mid
6,Haptic,mid
8,Haptic,mid
6,Visual,mid
8,Audio,near
1,Visual,far
1,Audio,far
8,Visual,near
2,Haptic,mid
6,Haptic,near
8,Visual,near
7,Visual,far
1,Haptic,mid
4,Visual,near
8,Visual,mid
5,Visual,far
5,Visual,far
7,Haptic,mid
5,Visual,near
4,Haptic,far
5,Audio,near
3,Audio,far
4,Haptic,mid
7,Haptic,far
6,Visual,near
7,Audio,mid
4,Audio,mid
4,Haptic,mid
2,Haptic,mid
3,Haptic,mid
3,Haptic,far
7,Haptic,near
4,Audio,near
4,Haptic,mid
4,Haptic,near
3,Haptic,far
8,Haptic,mid
1,Haptic,near
1,Audio,mid
8,Haptic,near
5,Visual,mid
1,Haptic,far
1,Visual,near
3,Audio,mid
3,Audio,far
6,Haptic,far
8,Haptic,far
7,Audio,near
7,Visual,near
3,Audio,far
7,Haptic,mid
3,Haptic,mid
5,Haptic,mid
6,Visual,mid
1,Haptic,far
4,Visual,near
3,Visual,mid
7,Audio,far
7,Visual,mid
2,Visual,mid
2,Haptic,far
5,Haptic,far
4,Audio,far
5,Visual,far
7,Audio,near
5,Haptic,mid
3,Visual,far
1,Audio,near
2,Haptic,far
6,Visual,far
5,Haptic,mid
3,Visual,near
2,Audio,mid
6,Haptic,mid
7,Haptic,near
8,Haptic,far
4,Haptic,far
5,Audio,far
7,Haptic,far
1,Visual,near
8,Visual,near
5,Haptic,far
5,Audio,mid
5,Visual,near
3,Audio,near
3,Audio,mid
5,Audio,far
4,Visual,mid
1,Haptic,near
1,Haptic,mid
7,Visual,near
5,Audio,mid
3,Haptic,far
6,Haptic,near
1,Audio,far
4,Visual,far
2,Audio,far
5,Audio,near
5,Visual,mid
2,Haptic,mid
1,Audio,near
7,Visual,mid
6,Haptic,near
3,Haptic,near
7,Haptic,near
3,Audio,near
4,Haptic,far
2,Visual,mid
6,Haptic,far
8,Audio,far
6,Audio,far
3,Visual,mid
6,Haptic,mid
8,Visual,far
4,Haptic,near
6,Audio,near
7,Audio,mid
3,Audio,near
7,Audio,near
8,Haptic,mid
6,Visual,near
6,Audio,mid
1,Haptic,mid
2,Visual,far
5,Visual,near
8,Audio,mid
4,Audio,far
2,Audio,mid
2,Audio,far
3,Visual,far
5,Haptic,near
2,Haptic,far
5,Audio,far
7,Visual,far
6,Audio,mid
8,Visual,far
1,Visual,mid
5,Haptic,near
2,Visual,mid
4,Visual,mid
2,Visual,far
4,Audio,far
3,Visual,far
3,Visual,near
1,Audio,far
7,Audio,far
4,Haptic,near
5,Audio,mid
4,Audio,mid
8,Haptic,far
8,Audio,near
2,Audio,far
6,Audio,near
6,Audio,near
3,Visual,mid
5,Audio,near
1,Visual,near
3,Visual,near
7,Visual,mid
5,Haptic,far
2,Visual,far
4,Visual,mid
6,Haptic,far
2,Haptic,near
